青，取之于蓝，	1．青，取之于蓝，而青于蓝；冰，水为之，而寒于水。（《荀子"劝学》）
闾阎扑地，	16．闾阎扑地，钟鸣鼎食之家；舸舰弥津，青雀黄龙之舳。（王勃《滕王阁序》）
云销雨霁，	17．云销雨霁，彩彻区明。落霞与孤鹜齐飞，秋水共长天一色。（王勃《滕王阁序》）
渔舟唱晚，	18．渔舟唱晚，响穷彭蠡之滨；雁阵惊寒，声断衡阳之浦。（王勃《滕王阁序》）
古之学者必有师。	19．古之学者必有师。师者，所以传道受业解惑也。（韩愈《师说》）
是故无贵无贱，	20．是故无贵无贱，无长无少，道之所存，师之所存也。（韩愈《师说》）
句读之不知，	21．句读之不知，惑之不解，或师焉，或不焉，小学而大遗，吾未见其明也。（韩愈《师说》）
孔子曰：三人行，	22．孔子曰：三人行，则必有我师。是故弟子不必不如师，师不必贤于弟子，闻道有先后，术业有专攻，如是而已。（（韩愈《师说》）
五步一楼，	23．五步一楼，十步一阁；廊腰缦回，檐牙高啄；各抱地势，钩心斗角。（杜牧《阿房宫赋》）
高低冥迷，	24．高低冥迷，不知西东。歌台暖响，春光融融；舞殿冷袖，风雨凄凄。一日之内，一宫之间，而气候不齐。（杜牧《阿房宫赋》）
燕赵之收藏，	25．燕赵之收藏，韩魏之经营，齐楚之精英，几世几年，剽掠其人，倚叠如山；一旦不能有，输来其间。鼎铛玉石，金块珠砾，弃掷逦迤，秦人视之，亦不甚惜。（杜牧《阿房宫赋》）
使天下之人，	26．使天下之人，不敢言而敢怒。独夫之心，日益骄固。戍卒叫，函谷举，楚人一炬，可怜焦土。（杜牧《阿房宫赋》）
灭六国者六国也，	27．灭六国者六国也，非秦也；族秦者秦也，非天下也。（杜牧《阿房宫赋》）
使六国各爱其人，	28．使六国各爱其人，则足以拒秦；使秦复爱六国之人，则递三世可至万世而为君，谁得而族灭也。（杜牧《阿房宫赋》）
秦人不暇自哀，	29．秦人不暇自哀，而后人哀之；后人哀之而不鉴之，亦使后人而复哀后人也。（杜牧《阿房宫赋》）
六国破灭，	30．六国破灭，非兵不利，战不善，弊在赂秦。赂秦而力亏，破灭之道也。（苏洵《六国论》）
古人云："以地事秦，	31．古人云："以地事秦，犹抱薪救火，薪不尽，火不灭。"此言得之。（苏洵《六国论》）
以赂秦之地封天下之谋臣，	32．以赂秦之地封天下之谋臣，以事秦之心礼天下之奇才，并力西向，则吾恐秦人食之不得下咽也。（苏洵《六国论》）
夫六国与秦皆诸侯，	33．夫六国与秦皆诸侯，其势弱于秦，而犹有可以不赂而胜之之势。苟以天下之大，而从六国破亡之故事，是又在六国下矣。（苏洵《六国论》）
于是余有叹焉。	34．于是余有叹焉。古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。（王安石《游褒禅山记》）
夫夷以近，	35．夫夷以近，则游者众；险以远，则至者少。而世之奇伟、瑰怪、非常之观，常在于险远，而人之所罕至焉，故非有志者不能至也。（王安石《游褒禅山记》）
然力足以至焉，	36．然力足以至焉，于人为可讥，而在己为有悔；尽吾志也而不能至者，可以无悔矣，其孰能讥之乎？（王安石《游褒禅山记》）
余于仆碑，	37．余于仆碑，又以悲夫古书之不存，后世之谬其传而莫能名者，何可胜道也哉！此所以学者不可以不深思而慎取之也。（王安石《游褒禅山记》）
清风徐来，	38．清风徐来，水波不兴。举酒属客，诵明月之诗，歌窈窕之章。（苏轼《前赤壁赋》）
白露横江，	39．白露横江，水光接天。纵一苇之所如，凌万顷之茫然。（苏轼《前赤壁赋》）
客有吹洞箫者，	40．客有吹洞箫者，倚歌而和之。其声呜呜然，如怨如慕，如泣如诉，余音袅袅，不绝如缕。舞幽壑之潜蛟，泣孤舟之嫠妇。（苏轼《前赤壁赋》）
方其破荆州，	41．方其破荆州，下江陵，顺流而东也，舳舻千里，旌旗蔽空，酾酒临江，横槊赋诗，固一世之雄也，而今安在哉？（苏轼《前赤壁赋》）
寄蜉蝣于天地，	42．寄蜉蝣于天地，渺沧海之一粟。哀吾生之须臾，羡长江之无穷。挟飞仙以遨游，抱明月而长终。（苏轼《前赤壁赋》）
盖将自其变者而观之，	43．盖将自其变者而观之，则天地曾不能以一瞬；自其不变者而观之，则物与我皆无尽也，而又何羡乎？（苏轼《前赤壁赋》）

乘彼垝垣，	44．乘彼垝垣，以望复关。不见复关，泣涕涟涟。既见复关，载笑载言。（《诗经"卫风"氓》）
三岁为妇，	45．三岁为妇，靡室劳矣。夙兴夜寐，靡有朝矣。（《诗经"卫风"氓》）
信誓旦旦，	46．信誓旦旦，不思其反。反是不思，亦已焉哉！（《诗经"卫风"氓》）
纷吾既有此内美兮，	47．纷吾既有此内美兮，又重之以脩能；扈江离与辟芷兮，纫秋兰以为佩。（屈原《离骚》）
惟草木之零落兮，	48．惟草木之零落兮，恐美人之迟暮；不抚壮而弃秽兮，何不改此度？乘骐骥以驰骋兮，来吾导夫先路。（屈原《离骚》）
河汉清且浅，	49．河汉清且浅，相去复几许？盈盈一水间，脉脉不得语。（《古诗十九首》）
对酒当歌，	50．对酒当歌，人生几何？譬如朝露，去日苦多。慨当以慷，忧思难忘。何以解忧？唯有杜康。（曹操《短歌行》）
青青子衿，	51．青青子衿，悠悠我心。但为君故，沉吟至今。（曹操《短歌行》）
月明星稀，	52．月明星稀，乌鹊南飞，绕树三匝，何枝可依？山不厌高，海不厌深。周公吐哺，天下归心。（曹操《短歌行》）
少无适俗韵，	53．少无适俗韵，性本爱丘山。误落尘网中，一去三十年。羁鸟恋旧林，池鱼思故渊。（陶潜《归园田居》）
户庭无尘杂，	54．户庭无尘杂，虚室有余闲。久在樊笼里，复得返自然。（陶潜《归园田居》）
空山新雨后，	55．空山新雨后，天气晚来秋。明月松间照，清泉石上流。（王维《山居秋暝》）
竹喧归浣女，	56．竹喧归浣女，莲动下渔舟。随意春芳歇，王孙自可留。（王维《山居秋暝》）
蜀道之难，	57．蜀道之难，难于上青天，使人听此凋朱颜。（李白《蜀道难》）
剑阁峥嵘而崔嵬，	58．剑阁峥嵘而崔嵬，一夫当关，万夫莫开。（李白《蜀道难》）.
天姥连天向天横，	59．天姥连天向天横，势拔五岳掩赤城。天台一万八千丈，对此欲倒东南倾。（李白《梦游天姥吟留别》）
安能摧眉折腰事权贵，	60．安能摧眉折腰事权贵，使我不得开心颜！（李白《梦游天姥吟留别》）
君不见黄河之水天上来，	61．君不见黄河之水天上来，奔流到海不复回。（李白《将进酒》）
人生得意须尽欢，	62．人生得意须尽欢，莫使金樽空对月。天生我材必有用，千金散尽还复来。（李白《将进酒》）
与君歌一曲，	63．与君歌一曲，请君为我倾耳听。钟鼓馔玉不足贵，但愿长醉不复醒。古来圣贤皆寂寞，惟有饮者留其名。（李白《将进酒》）
主人何为言少钱，	64．主人何为言少钱，径须沽取对君酌。五花马，千金裘，呼儿将出换美酒，与尔同销万古愁。（李白《将进酒》）
车辚辚，马萧萧，	65．车辚辚，马萧萧，行人弓箭各在腰。耶娘妻子走相送，尘埃不见咸阳桥。牵衣顿足拦道哭，哭声直上干云霄。（杜甫《兵车行》）
边庭流血成海水，	66．边庭流血成海水，武皇开边意未已。君不闻汉家山东二百州，千村万落生荆杞。（杜甫《兵车行》）
生女犹得嫁比邻，	67．生女犹得嫁比邻，生男埋没随百草。君不见青海头，古来白骨无人收。新鬼烦冤旧鬼哭，天阴雨湿声啾啾。（杜甫《兵车行》）
丞相祠堂何处寻？	68．丞相祠堂何处寻？锦官城外柏森森。映阶碧草自春色，隔叶黄鹂空好音。三顾频烦天下计，两朝开济老臣心。出师未捷身先死，长使英雄泪满襟。（杜甫《蜀相》）
舍南舍北皆春水，	69．舍南舍北皆春水，但见群鸥日日来。花径不曾缘客扫，蓬门今始为君开。（杜甫《客至》）
风急天高猿啸哀，	70．风急天高猿啸哀，渚清沙白鸟飞回。无边落木萧萧下，不尽长江滚滚来。万里悲秋常作客，百年多病独登台。艰难苦恨繁霜鬓，潦倒新停浊酒杯。（杜甫《登高》）
昔闻洞庭水，	71．昔闻洞庭水，今上岳阳楼。吴楚东南坼，乾坤日夜浮。亲朋无一字，老病有孤舟。戎马关山北，凭轩涕泗流。（杜甫《登岳阳楼》）
山围故国周遭在，	72．山围故国周遭在，潮打空城寂寞回。淮水东边旧时月，夜深还过女墙来。( 刘禹锡《石头城》)
浔阳江头夜送客，	73．浔阳江头夜送客，枫叶荻花秋瑟瑟。主人下马客在船，举酒欲饮无管弦。醉不成欢惨将别，别时茫茫江浸月。（白居易《琵琶行》）
移船相近邀相见，	74．移船相近邀相见，添酒回灯重开宴。千呼万唤始出来，犹抱琵琶半遮面。转轴拨弦三两声，未成曲调先有情。弦弦掩抑声声思，似诉平生不得志。（白居易《琵琶行》）
轻拢慢捻抹复挑，	75．轻拢慢捻抹复挑，初为《霓裳》后《六幺》。大弦嘈嘈如急雨，小弦切切如私语。嘈嘈切切错杂弹，大珠小珠落玉盘。（白居易《琵琶行》）
冰泉冷涩弦凝绝，	76．冰泉冷涩弦凝绝，凝绝不通声暂歇。别有幽愁暗恨生，此时无声胜有声。（白居易《琵琶行》）
银瓶乍破水浆迸，	77．银瓶乍破水浆迸，铁骑突出刀枪鸣。曲终收拨当心画，四弦一声如裂帛。东船西舫悄无言，唯见江心秋月白。（白居易《琵琶行》）
钿头银篦击节碎，	78．钿头银篦击节碎，血色罗裙翻酒污。今年欢笑复明年，秋月春风等闲度。弟走从军阿姨死，暮去朝来颜色故。门前冷落鞍马稀，老大嫁作商人妇。（白居易《琵琶行》）
我闻琵琶已叹息，	79．我闻琵琶已叹息，又闻此语重唧唧。同是天涯沦落人，相逢何必曾相识！（白居易《琵琶行》）
凄凄不似向前声，	80．凄凄不似向前声，满座重闻皆掩泣。座中泣下谁最多？江州司马青衫湿。（白居易《琵琶行》）
江娥啼竹素女愁，	81．江娥啼竹素女愁，李凭中国弹箜篌。昆山玉碎凤凰叫，芙蓉泣露香兰笑。（李贺《李凭箜篌引》）
十二门前融冷光，	82．十二门前融冷光，二十三丝动紫皇。女娲炼石补天处，石破天惊逗秋雨。（李贺《李凭箜篌引》）
长安回望绣成堆，	83．长安回望绣成堆，山顶千门次第开。一骑红尘妃子笑，无人知是荔枝来。（杜牧《过华清宫》）
小山重叠金明灭，	84．小山重叠金明灭，鬓云欲度香腮雪。懒起画蛾眉，弄妆梳洗迟。（温庭筠《菩萨蛮》）
照花前后镜，	85．照花前后镜，花面交相映。新帖绣罗襦，双双金鹧鸪。（温庭筠《菩萨蛮》）
锦瑟无端五十弦，	86．锦瑟无端五十弦，一弦一柱思华年。庄生晓梦迷蝴蝶，望帝春心托杜鹃。沧海月明珠有泪，蓝田日暖玉生烟。此情可待成追忆？只是当时已惘然！.（李商隐《锦瑟》）
春花秋月何时了，	87．春花秋月何时了，往事知多少。小楼昨夜又东风，故国不堪回首月明中。（李煜《虞美人》）
雕栏玉砌应犹在，	88．雕栏玉砌应犹在，只是朱颜改。问君能有几多愁，恰似一江春水向东流。（李煜（《虞美人》）
寒蝉凄切，	89．寒蝉凄切，对长亭晚，骤雨初歇。 都门帐饮无绪，留恋处，兰舟催发。执手相看泪眼，竟无语凝噎。 念去去，千里烟波，暮霭沉沉楚天阔。（柳永《雨霖铃》）
多情自古伤离别，	90．多情自古伤离别，更那堪冷落清秋节。今宵酒醒何处，杨柳岸晓风残月。此去经年，应是良辰好景虚设。 便纵有千种风情，更与何人说。（柳永《雨霖铃》）
登临送目，	91．登临送目，正故国晚秋，天气初肃。千里澄江似练，翠峰如簇。（王安石《桂枝香》）
念往昔，	92．念往昔，豪华竞逐，叹门外楼头，悲恨相续。千古凭高对此，漫嗟荣辱。六朝旧事随流水，但寒烟衰草凝绿。至今商女，时时犹唱，《后庭》遗曲。（王安石《桂枝香》）
大江东去，	93．大江东去，浪淘尽，千古风流人物。故垒西边，人道是、三国周郎赤壁。乱石穿空，惊涛拍岸，卷起千堆雪。江山如画，一时多少豪杰！（苏轼《念奴娇"赤壁怀古》）
遥想公瑾当年，	94．遥想公瑾当年，小乔初嫁了，雄姿英发。羽扇纶巾，谈笑间，樯橹灰飞烟灭。故国神游，多情应笑我，早生华发。人生如梦，一尊还酹江月。（苏轼《念奴娇"赤壁怀古》）
纤云弄巧，	95．纤云弄巧，飞星传恨，银汉迢迢暗度。金风玉露一相逢，便胜却人间无数。（秦观《鹊桥仙》）
柔情似水，	96．柔情似水，佳期如梦，忍顾鹊桥归路。两情若是久长时，又岂在朝朝暮暮。（秦观《鹊桥仙》）
寻寻觅觅，	97．寻寻觅觅，冷冷清清，凄凄惨惨戚戚。乍暖还寒时候，最难将息。三杯两盏淡酒，怎敌他、晚来风急？雁过也，正伤心，却是旧时相识。（李清照《声声慢》）
满地黄花堆积，	98．满地黄花堆积，憔悴损，如今有谁堪摘？守着窗儿，独自怎生得黑！梧桐更兼细雨，到黄昏，点点滴滴。这次第，怎一个愁字了得！（李清照《声声慢》）
早岁那知世事艰，	99．早岁那知世事艰，中原北望气如山。楼船夜雪瓜洲渡，铁马秋风大散关。（陆游《书愤》）
塞上长城空自许，	100．塞上长城空自许，镜中衰鬓已先斑。出师一表真名世，千载谁堪伯仲间！（陆游《书愤》）
千古江山，	101．千古江山，英雄无觅孙仲谋处。舞榭歌台，风流总被雨打风吹去。斜阳草树，寻常巷陌，人道寄奴曾住。想当年，金戈铁马，气吞万里如虎。（辛弃疾《永遇乐"京口北固亭怀古》）
元嘉草草，	102．元嘉草草，封狼居胥，赢得仓皇北顾。四十三年，望中犹记，烽火扬州路。可堪回首，佛狸祠下，一片神鸦社鼓。凭谁问：廉颇老矣，尚能饭否？（辛弃疾《永遇乐"京口北固亭怀古》）
淮左名都，	103．淮左名都，竹西佳处，解鞍少驻初程。过春风十里，尽荠麦青青。自胡马窥江去后，废池乔木，犹厌言兵。渐黄昏，清角吹寒，都在空城。（姜夔《扬州慢》）
杜郎俊赏，	104．杜郎俊赏，算而今重到须惊。纵豆蔻词工，青楼梦好，难赋深情。二十四桥仍在，波心荡，冷月无声。念桥边红药，年年知为谁生？（姜夔《扬州慢》）
碧云天，黄花地，	105．碧云天，黄花地，西风紧，北雁南飞。晓来谁染霜林醉？总是离人泪。（王实甫《长亭送别》）

吾尝终日而思矣，	106．吾尝终日而思矣，不如须臾之所学也；吾尝跂而望矣，不如登高之博见也。《荀子"劝学》
假舆马者，	107．假舆马者，非利足也，而致千里；假舟楫者，非能水也，而绝江河。君子生非异也，善假于物也。《荀子"劝学》
积土成山，	108．积土成山，风雨兴焉。积水成渊，蛟龙生焉。积善成德，而神明自得，圣心备焉。《荀子"劝学》
故不积跬步，	109．故不积跬步，无以至千里；不积小流，无以成江海。《荀子"劝学》
骐骥一跃，	110．骐骥一跃，不能十步，驽马十驾，功在不舍。锲而舍之，朽木不折；锲而不舍，金石可镂。《荀子"劝学》
君臣固守以窥周室，	111．君臣固守以窥周室，有席卷天下，包举宇内，囊括四海之意，并吞八荒之心。（贾谊《过秦论》）
率疲弊之卒，	112．率疲弊之卒，将数百之众，转而攻秦；折木为兵，揭竿为旗，天下云集响应，赢粮而景从。（贾谊《过秦论》）
身死人手，	113．身死人手，为天下笑者，何也？仁义不施而攻守之势异也。（贾谊《过秦论》）
群贤毕至，	114．群贤毕至，少长咸集。此地有崇山峻岭，茂林修竹，又有清流激湍，映带左右。（王羲之《兰亭集序》）
是日也，	115．是日也，天朗气清，惠风和畅。仰观宇宙之大，俯察品类之盛，所以游目骋怀，足以极视听之娱，信可乐也。（王羲之《兰亭集序》）
悟已往之不谏，	116．悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。（陶潜《归去来兮辞》）
木欣欣以向荣，	117．木欣欣以向荣，泉涓涓而始流。善万物之得时，感吾生之行休。（陶潜《归去来兮辞》）
臣闻求木之长者，	118．臣闻求木之长者，必固其根本；欲流之远者，必浚其泉源，思国之安者，必积其德义。（魏征《谏太宗十思疏》）
居域中之大，	119．居域中之大，不念居安思危，戒奢以俭，斯亦伐根以求木茂，塞源而欲流长也。（魏征《谏太宗十思疏》）
凡百元首，	120．凡百元首，承天景命。善始者实繁，克终者盖寡。（魏征《谏太宗十思疏》）
虑雍蔽，	121．虑雍蔽，则思虚心以纳下；惧谗邪，则思正身以黜恶。（魏征《谏太宗十思疏》）
总此十思，	122．总此十思，宏兹九德。简能而任之，择善而从之，则智者尽其谋，勇者竭其力，仁者播其惠，信者效其忠。文武并用，垂拱而治。（魏征《谏太宗十思疏》）
老当益壮，	123．老当益壮，宁移白首之心？穷且益坚，不坠青云之志。（王勃《滕王阁序》）
物华天宝，	124．物华天宝，龙光射牛斗之墟；人杰地灵，徐孺下陈蕃之榻。（王勃《滕王阁序》）
东隅已逝，	125．东隅已逝，桑榆非晚。（王勃《滕王阁序》）
事不目见耳闻，	126．事不目见耳闻，而臆断其有无，可乎？（苏轼《石钟山记》）
借书满架，	127．借书满架，偃仰啸歌，冥然兀坐，万籁有声；而庭阶寂寂，小鸟时来啄食，人至不去。（归有光《项脊轩志》）
三五之夜，	128．三五之夜，明月半墙，桂影斑驳，风移影动，珊珊可爱。（归有光《项脊轩志》）
及既上，苍山负雪，	129．及既上，苍山负雪，明烛天南。（姚鼐《登泰山记》）
长太息以掩涕兮，	130．长太息以掩涕兮，哀民生之多艰。（屈原《离骚》）
亦余心之所善兮，	131．亦余心之所善兮，虽九死其犹未悔。（屈原《离骚》）
宁溘死以流亡兮，	132．宁溘死以流亡兮，余不忍为此态也。（屈原《离骚》）
伏清白以死直兮，	133．伏清白以死直兮，固前圣之所厚。（屈原《离骚》）
虽体解吾犹未变兮，	134．虽体解吾犹未变兮，岂余心之可惩？（屈原《离骚》）
百川东到海，	135．百川东到海，何时复西归？少壮不努力，老大徒伤悲。（《长歌行》）
孔雀东南飞，	136．孔雀东南飞，五里一徘徊。（《孔雀东南飞》）
君当作磐石，	137．君当作磐石，妾当作蒲苇，蒲苇纫如丝，磐石无转移。（《孔雀东南飞》）
磐石方且厚，	138．磐石方且厚，可以卒千年，蒲苇一时纫，便作旦夕间。（《孔雀东南飞》）
东西植松柏，	139．东西植松柏，左右种梧桐，枝枝相覆盖，叶叶相交通。（《孔雀东南飞》）
多谢后世人，	140．多谢后世人，戒之慎勿忘。（《孔雀东南飞》）
仰手接飞猱，	141．仰手接飞猱，俯身散马蹄。狡捷过猴猿，勇剽若豹螭。（曹植《白马篇》）
名编壮士籍，	142．名编壮士籍，不得中顾私。捐躯赴国难，视死忽如归。（曹植《白马篇》）
越王勾践破吴归，	143．越王勾践破吴归，战士还家尽锦衣。宫女如花满春殿，只今惟有鹧鸪飞。（李白《越中览古》）
烟销日出不见人，	145．烟销日出不见人，欸乃一声山水绿。（柳宗元《渔翁》）
残灯无焰影幢幢，	146．残灯无焰影幢幢，此夕闻君谪九江。垂死病中惊坐起，暗风吹雨入寒窗。（元稹《闻乐天左降江州司马》）
独自莫凭栏，	147．独自莫凭栏，无限江山，别时容易见时难。流水落花春去也，天上人间。（李煜《浪淘沙》）
十年生死两茫茫，	148．十年生死两茫茫，不思量，自难忘。千里孤坟，无处话凄凉。（苏轼《江城子》）
相顾无言，	149．相顾无言，惟有泪千行。料得年年肠断处，明月夜，短松冈。（苏轼《江城子》）
云中谁寄锦书来？	150．云中谁寄锦书来？雁字回时，月满西楼。（李清照《一剪梅》）
花自飘零水自流。	151．花自飘零水自流。一种相思，两处闲愁。此情无计可消除，才下眉头，却上心头。（李清照《一剪梅》）
小楼一夜听春雨，	152．小楼一夜听春雨，深巷明朝卖杏花。（陆游《临安春雨初霁》）
地也，	153．地也，你不分好歹何为地！天也，你错勘贤愚枉做天！（关汉卿《窦娥冤》）
细草微风岸，	154．细草微风岸，危樯独夜舟。星垂平野阔，月涌大江流。名岂文章著，官应老病休。飘飘何所似？天地一沙鸥。（杜甫《旅夜书怀》）
千载琵琶作胡语，	155．千载琵琶作胡语，分明怨恨曲中论。（杜甫《咏怀古迹》）
五更鼓角声悲壮，	156．五更鼓角声悲壮，三峡星河影动摇。（杜甫《阁夜》）
不患寡而患不均，	157．不患寡而患不均，不患贫而患不安。（《论语"季氏将伐颛臾》）
满招损，	158．满招损，谦受益。（《尚书"大禹谟》）
忧劳可以兴国，	159．忧劳可以兴国，逸豫可以亡身。（欧阳修《伶官传序》）
夫祸患常积于忽微，	160．夫祸患常积于忽微，而智勇多困于所溺。（欧阳修《伶官传序》）
老吾老，	161．老吾老，以及人之老；幼吾幼，以及人之幼。《孟子"齐桓晋文之事》
举世混浊而我独清，	162．举世混浊而我独清，众人皆醉而我独醒。（《史记" 屈原列传》）
墙上芦苇，	163．墙上芦苇，头重脚轻根底浅；山间竹笋，嘴尖皮厚腹中空。（明朝" 解缙）
梦里依稀慈母泪，	164．梦里依稀慈母泪，城头变幻大王旗。忍看朋辈成新鬼，怒向刀丛觅小诗。（鲁迅）
横眉冷对千夫指，	165．横眉冷对千夫指，俯首甘为孺子牛。躲进小楼成一统，管他冬夏与春秋。（鲁迅《自嘲》）
独立寒秋，	166．独立寒秋，湘江北去，橘子洲头。看万山红遍，层林尽染；漫江碧透，百舸争流。鹰击长空，鱼翔浅底，万类霜天竞自由。怅寥廓，问苍茫地，谁主沉浮。（毛泽东《沁园春"长沙》）
携来百侣曾游。	167．携来百侣曾游。忆往昔峥嵘岁月稠。恰同学少年，风华正茂；书生意气，挥斥方遒。指点江山，激扬文字，粪土当年万户侯。（毛泽东《沁园春"长沙》）
曾记否，	168．曾记否，到中流击水，浪遏飞舟。（毛泽东《沁园春"长沙》）
